PUBLISHER,ENGRAVER
Ballard,Anstatt für Musikaliendruck in Leipzig
Richault,Ant. Gram
Richault,Ant. Gram
Maurice Senart,Anton Strauss.
Durand,Antwerp: Thibault.
Ballard,Ashby
M. Witmark & Sons,Ashby
Ballard,Augsburg: Moritz Böhm.
J.G. Richards Co.,Augsburg: Moritz Böhm.
F.E.C. Leuckart,B. Andrez
F.E.C. Leuckart,B. Andrez
P. Jurgenson,B. Cole
F.E.C. Leuckart,B. Fortier
Imbault,B. Fortier
M.P. Belaieff,B. Fortier
Maurice Senart,B. Fortier
M.P. Belaieff,B. Johnston
M.P. Belaieff,B. Johnston
P. Jurgenson,B. Koltchanovsky
Edition Peters,B.&H. (Breitkopf or Boosey?)
F.E.C. Leuckart,Bailleul le jeune
Maurice Senart,Bailleul le Jeune
Escudier,Baker
Firth,Baker
G. Sennewald,Baker
G. Sennewald,Baker
P. Jurgenson,Baker
P. Jurgenson,Baker
Edition Peters,Balthasar Schmid
G. Sennewald,Balthasar Schmid
G. Sennewald,Balthasar Schmid
G. Sennewald,Balthasar Schmid
G. Sennewald,Balthasar Schmid
M.P. Belaieff,Barbe
Edition Peters,Barcelona: Manuel Salvat
Edition Peters,Barcelona: Manuel Salvat
Escudier,Barcelona: Manuel Salvat
Escudier,Barcelona: Manuel Salvat
Escudier,Barcelona: Manuel Salvat
#N/A,Barcelona: Manuel Salvat
Eulenburg,Barion
C.F.W. Siegel,Barlion
Escudier,Barlion
Ewer,Barlion
Ewer,Barlion
M.P. Belaieff,Barlion
M.P. Belaieff,Barmen: Aug. Schmidtmann
Ballard,Barmen: Aug. Schmidtmann.
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
M.P. Belaieff,Bart Dunn
Mori & Lavenu,Bates
Edition Peters,Baudon
Edition Peters,Baudon
Edition Peters,Baudon
Edition Peters,Baudon
Edition Peters,Baudon
F.E.C. Leuckart,Baudon
Firth,Baudon
N. Simrock,Baudon
P. Jurgenson,Baudon
P. Jurgenson,Baudon
M.P. Belaieff,"Baudon, Paris"
M.P. Belaieff,"Baudon, Paris"
M.P. Belaieff,"Baudon, Paris"
#N/A,"Baudon, Paris"
Bärenreiter,Beaublé
